experiment_name,trial_id,trial_total_time,item_id,item_condition,region_number,location_first_regression,latency_first_regression,fixation_count,percent_regressions,average_forward_saccade,average_backward_saccade,skip,first_pass_regressions_out,first_pass_regressions_in,first_fixation_duration,single_fixation_duration,first_pass,go_past,total_time,right_bounded_time,reread_time,second_pass,spillover_time,refixation_time,landing_position,launch_site,first_pass_fixation_count,go_back_time_region,go_back_time_char
sample1,0,2043,273,1,0,"(56, 0)",1511,7,0.16666666666666666,70.6,51.0,False,False,False,237,237,237,237,237,237,0,0,210,None,"(4, 0)",None,1,1300,1300
sample1,0,2043,273,1,1,"(56, 0)",1511,7,0.16666666666666666,70.6,51.0,False,False,True,210,210,210,210,424,210,214,214,None,None,"(4, 0)","(-11, 0)",1,1026,1026
sample1,0,2043,273,1,2,"(56, 0)",1511,7,0.16666666666666666,70.6,51.0,True,None,None,None,None,None,None,0,None,0,0,None,None,None,None,None,816,816
sample1,0,2043,273,1,3,"(56, 0)",1511,7,0.16666666666666666,70.6,51.0,False,False,False,61,61,61,61,61,61,0,0,476,None,"(3, 0)","(-13, 0)",1,773,773
sample1,0,2043,273,1,4,"(56, 0)",1511,7,0.16666666666666666,70.6,51.0,False,True,False,267,None,476,920,706,706,0,230,None,209,"(4, 0)","(-1, 0)",2,527,527
sample1,1,1779,286,2,0,None,None,5,0.0,36.5,0,False,False,False,392,392,392,392,392,392,0,0,214,None,"(7, 0)",None,1,None,None
sample1,1,1779,286,2,1,None,None,5,0.0,36.5,0,False,False,False,214,214,214,214,214,214,0,0,None,None,"(4, 0)","(-13, 0)",1,None,None
sample1,1,1779,286,2,2,None,None,5,0.0,36.5,0,True,None,None,None,None,None,None,0,None,0,0,None,None,None,None,None,None,None
sample1,1,1779,286,2,3,None,None,5,0.0,36.5,0,True,None,None,None,None,None,None,0,None,0,0,None,None,None,None,None,None,None
sample1,1,1779,286,2,4,None,None,5,0.0,36.5,0,False,False,False,265,None,832,832,832,832,0,0,None,567,"(8, 0)","(-14, 0)",3,None,None
sample1,2,1281,257,1,0,None,None,5,0.0,34.75,0,False,False,False,185,None,422,422,422,422,0,0,None,237,"(0, 0)",None,2,None,None
sample1,2,1281,257,1,1,None,None,5,0.0,34.75,0,True,None,None,None,None,None,None,0,None,0,0,None,None,None,None,None,None,None
sample1,2,1281,257,1,2,None,None,5,0.0,34.75,0,False,False,False,195,195,195,195,195,195,0,0,267,None,"(2, 0)","(-15, 0)",1,None,None
sample1,2,1281,257,1,3,None,None,5,0.0,34.75,0,False,False,False,267,267,267,267,267,267,0,0,258,None,"(5, 0)","(-5, 0)",1,None,None
sample1,2,1281,257,1,4,None,None,5,0.0,34.75,0,False,False,False,258,258,258,258,258,258,0,0,None,None,"(14, 0)","(-3, 0)",1,None,None
sample1,3,1678,174,2,0,None,None,5,0.0,38.0,0,False,False,False,238,None,407,407,407,407,0,0,None,169,"(10, 0)",None,2,None,None
sample1,3,1678,174,2,1,None,None,5,0.0,38.0,0,True,None,None,None,None,None,None,0,None,0,0,None,None,None,None,None,None,None
sample1,3,1678,174,2,2,None,None,5,0.0,38.0,0,False,False,False,218,218,218,218,218,218,0,0,None,None,"(2, 0)","(-10, 0)",1,None,None
sample1,3,1678,174,2,3,None,None,5,0.0,38.0,0,True,None,None,None,None,None,None,0,None,0,0,None,None,None,None,None,None,None
sample1,3,1678,174,2,4,None,None,5,0.0,38.0,0,False,False,False,516,None,709,709,709,709,0,0,None,193,"(6, 0)","(-8, 0)",2,None,None
sample1,4,2028,220,4,0,"(66, 0)",1480,8,0.2857142857142857,39.8,42.0,False,False,False,171,None,599,599,599,599,0,0,None,428,"(1, 0)",None,3,None,1480
sample1,4,2028,220,4,1,"(66, 0)",1480,8,0.2857142857142857,39.8,42.0,True,None,None,None,None,None,None,0,None,0,0,None,None,None,None,None,None,813
sample1,4,2028,220,4,2,"(66, 0)",1480,8,0.2857142857142857,39.8,42.0,False,False,True,218,218,218,218,493,218,275,275,None,None,"(1, 0)","(-13, 0)",1,None,771
sample1,4,2028,220,4,3,"(66, 0)",1480,8,0.2857142857142857,39.8,42.0,True,None,None,None,None,None,None,0,None,0,0,None,None,None,None,None,None,553
sample1,4,2028,220,4,4,"(66, 0)",1480,8,0.2857142857142857,39.8,42.0,False,True,False,242,None,653,928,653,653,0,0,None,411,"(4, 0)","(-12, 0)",3,None,507
sample1,5,1839,16,4,0,"(49, 0)",1372,6,0.2,30.0,265.0,False,False,False,237,None,406,406,406,406,0,0,215,169,"(6, 0)",None,2,None,None
sample1,5,1839,16,4,1,"(49, 0)",1372,6,0.2,30.0,265.0,False,False,False,215,215,215,215,215,215,0,0,194,None,"(5, 0)","(-6, 0)",1,None,None
sample1,5,1839,16,4,2,"(49, 0)",1372,6,0.2,30.0,265.0,False,False,False,194,194,194,194,194,194,0,0,None,None,"(5, 0)","(-4, 0)",1,None,None
sample1,5,1839,16,4,3,"(49, 0)",1372,6,0.2,30.0,265.0,True,None,True,None,None,None,None,202,None,202,0,None,None,None,None,None,None,None
sample1,5,1839,16,4,4,"(49, 0)",1372,6,0.2,30.0,265.0,False,True,False,192,192,192,394,192,192,0,0,None,None,"(5, 0)","(-9, 0)",1,None,None
sample1,6,1342,251,3,0,None,None,5,0.0,38.25,0,False,False,False,189,189,189,189,189,189,0,0,None,None,"(8, 0)",None,1,None,None
sample1,6,1342,251,3,1,None,None,5,0.0,38.25,0,True,None,None,None,None,None,None,0,None,0,0,None,None,None,None,None,None,None
sample1,6,1342,251,3,2,None,None,5,0.0,38.25,0,False,False,False,260,260,260,260,260,260,0,0,None,None,"(1, 0)","(-10, 0)",1,None,None
sample1,6,1342,251,3,3,None,None,5,0.0,38.25,0,True,None,None,None,None,None,None,0,None,0,0,None,None,None,None,None,None,None
sample1,6,1342,251,3,4,None,None,5,0.0,38.25,0,False,False,False,250,None,545,545,545,545,0,0,None,295,"(5, 0)","(-11, 0)",3,None,None
sample1,7,1842,66,2,0,"(51, 0)",1347,7,0.16666666666666666,35.8,29.0,False,False,False,352,None,513,513,513,513,0,0,None,161,"(2, 0)",None,2,None,1347
sample1,7,1842,66,2,1,"(51, 0)",1347,7,0.16666666666666666,35.8,29.0,True,None,None,None,None,None,None,0,None,0,0,None,None,None,None,None,None,806
sample1,7,1842,66,2,2,"(51, 0)",1347,7,0.16666666666666666,35.8,29.0,False,False,False,233,233,233,233,233,233,0,0,None,None,"(0, 0)","(-9, 0)",1,None,780
sample1,7,1842,66,2,3,"(51, 0)",1347,7,0.16666666666666666,35.8,29.0,True,None,None,None,None,None,None,0,None,0,0,None,None,None,None,None,None,547
sample1,7,1842,66,2,4,"(51, 0)",1347,7,0.16666666666666666,35.8,29.0,False,False,False,261,None,888,888,888,888,0,0,None,627,"(6, 0)","(-10, 0)",4,None,504
sample1,8,1930,287,3,0,"(50, 0)",1647,7,0.16666666666666666,72.2,59.0,False,False,False,174,None,375,375,375,375,0,0,184,201,"(0, 0)",None,2,None,None
sample1,8,1930,287,3,1,"(50, 0)",1647,7,0.16666666666666666,72.2,59.0,False,False,False,184,184,184,184,184,184,0,0,None,None,"(5, 0)","(-3, 0)",1,None,None
sample1,8,1930,287,3,2,"(50, 0)",1647,7,0.16666666666666666,72.2,59.0,True,None,True,None,None,None,None,224,None,224,0,None,None,None,None,None,None,None
sample1,8,1930,287,3,3,"(50, 0)",1647,7,0.16666666666666666,72.2,59.0,True,None,None,None,None,None,None,0,None,0,0,None,None,None,None,None,None,None
sample1,8,1930,287,3,4,"(50, 0)",1647,7,0.16666666666666666,72.2,59.0,False,True,False,310,None,727,951,727,727,0,0,None,417,"(0, 0)","(-13, 0)",3,None,None
sample1,9,1783,87,3,0,"(48, 0)",1163,7,0.3333333333333333,32.5,149.5,False,False,False,192,None,428,428,428,428,0,0,182,236,"(0, 0)",None,2,None,1163
sample1,9,1783,87,3,1,"(48, 0)",1163,7,0.3333333333333333,32.5,149.5,False,False,True,182,182,182,182,287,182,105,105,160,None,"(0, 0)","(-14, 0)",1,None,673
sample1,9,1783,87,3,2,"(48, 0)",1163,7,0.3333333333333333,32.5,149.5,False,False,False,160,160,160,160,160,160,0,0,None,None,"(3, 0)","(-7, 0)",1,None,462
sample1,9,1783,87,3,3,"(48, 0)",1163,7,0.3333333333333333,32.5,149.5,True,None,None,None,None,None,None,0,None,0,0,None,None,None,None,None,None,302
sample1,9,1783,87,3,4,"(48, 0)",1163,7,0.3333333333333333,32.5,149.5,False,True,False,263,None,479,584,479,479,0,0,None,216,"(6, 0)","(-12, 0)",2,None,263
sample1,10,1075,65,1,0,None,None,5,0.0,30.0,0,False,False,False,225,None,414,414,414,414,0,0,161,189,"(0, 0)",None,2,None,None
sample1,10,1075,65,1,1,None,None,5,0.0,30.0,0,False,False,False,161,161,161,161,161,161,0,0,None,None,"(5, 0)","(-7, 0)",1,None,None
sample1,10,1075,65,1,2,None,None,5,0.0,30.0,0,True,None,None,None,None,None,None,0,None,0,0,None,None,None,None,None,None,None
sample1,10,1075,65,1,3,None,None,5,0.0,30.0,0,True,None,None,None,None,None,None,0,None,0,0,None,None,None,None,None,None,None
sample1,10,1075,65,1,4,None,None,5,0.0,30.0,0,False,False,False,250,None,380,380,380,380,0,0,None,130,"(10, 0)","(-10, 0)",2,None,None
